YearStart,LocationDesc,Age,Gender,RaceEthnicity,Data_Value,Sample_Size
2015,16,5,2,5,18.2,716
2015,18,2,2,1,0.001,105
2014,44,4,0,5,5.6,24150
2014,13,3,1,0,2.5,2354
2014,0,2,1,1,0.6,24485
2014,8,3,2,0,1.8,1665
2015,35,1,1,6,0.001,39
2014,23,5,2,0,16.7,1631
2015,35,2,0,2,0.001,38
2015,20,2,0,0,1,2888
2014,20,1,1,6,0.001,44
2014,48,0,2,4,3.8,714
2014,31,2,2,0,1,11241
2014,29,5,2,0,16.9,267
2014,29,5,1,5,21.1,136
2014,22,5,2,0,17.6,1340
2015,22,5,2,0,16,1319
2015,11,3,2,2,3.4,4773
2014,36,5,1,0,14.7,1026
2014,31,0,2,6,3.2,864
2014,44,4,2,6,7.4,203
2015,41,1,2,0,0.8,4370
2015,29,1,0,3,2.2,2143
2015,4,0,1,5,3.3,11225
2014,44,0,1,3,2.5,42350
2015,29,3,1,5,4.1,2871
2014,44,1,1,4,0.001,89
2014,51,2,0,0,1.8,1514
2014,31,2,1,3,1.3,2162
2014,42,1,2,4,0.001,189
2014,0,4,0,4,12.8,3193
2015,5,1,1,2,0.8,1759
2014,21,0,0,1,1.4,3635
2014,32,0,1,4,4,1686
2014,12,0,2,0,2,7215
2014,4,0,0,0,3.4,29369
2015,23,3,1,5,2,14724
2014,23,1,2,5,0.5,7197
2014,11,0,0,5,2.8,59415
2014,1,1,0,2,0.6,2497
2014,10,4,1,2,9.8,1294
2015,31,2,1,3,0.5,2145
2015,12,3,2,0,1.9,2383
2014,26,4,2,0,5.5,5593
2014,32,0,0,4,3.7,3481
2014,32,2,2,5,2.9,706
2014,47,0,0,5,2.2,56760
2014,36,0,2,3,2.2,1607
2015,34,3,2,0,3.4,17761
2014,2,0,2,0,1.9,3196
2015,21,0,2,2,2.4,8124
2014,17,0,0,0,2.3,28802
2014,39,5,2,5,17.3,2450
2014,0,0,1,1,1.3,72327
2014,18,1,0,1,0.001,112
2015,12,1,2,5,0.001,191
2014,40,3,1,0,2.1,1830
2014,17,2,0,5,1.3,5614
2015,13,3,0,0,3,5033
2015,16,1,2,1,0.001,39
2015,2,3,0,0,2.5,2180
2015,38,0,1,3,2.2,1933
2014,49,1,2,3,0.001,32
2015,14,4,2,3,5.9,513
2015,16,0,0,5,2.1,29159
2015,5,1,2,5,0.5,11185
2015,38,5,2,5,19,590
2014,32,5,2,0,20.1,230
2014,34,2,0,0,1.2,25152
2014,19,2,2,0,1.7,5816
2014,31,4,0,1,3.1,725
2014,3,0,2,2,3.5,1052
2014,16,4,2,5,3.7,2843
2015,1,0,1,5,2.9,16236
2014,8,0,1,1,0.001,136
2015,32,0,2,5,3.9,3720
2014,38,0,0,2,4,554
2015,20,5,2,0,13.9,255
2015,31,3,0,1,0.4,2871
2015,41,2,1,4,0.001,32
2015,44,4,0,3,10.6,7184
2015,32,3,1,3,3.8,1098
2014,34,4,1,0,6.3,7166
2014,25,3,1,2,5.2,1519
2014,22,3,2,2,3.9,653
2014,10,0,0,0,2.5,192673
2015,10,4,0,0,5.1,40253
2015,39,1,1,5,0.5,9845
2014,43,5,1,0,19.8,419
2014,49,3,1,5,5.5,2998
2014,29,4,0,2,9.2,251
2015,39,5,1,0,13.5,1292
2014,33,3,0,4,6.6,192
2015,14,0,1,5,1.9,43786
2014,34,0,1,1,1,1031
2014,28,5,1,0,18.5,184
2014,6,1,2,4,0.001,51
2014,4,1,2,3,0.001,305
2014,44,2,0,1,0.4,3419
2015,11,4,1,5,5.9,5045
2015,28,3,2,0,2.2,3105
2014,15,2,0,0,1.3,17571
2014,39,0,1,5,2,53065
2015,33,5,1,3,38.4,72
2014,30,5,0,5,12,331
2014,23,3,1,0,2.7,17370
2014,45,3,2,5,2.4,3525
2014,45,4,1,0,4.4,1492
2014,49,5,2,5,27.1,338
2014,5,1,0,5,0.5,23127
2014,14,0,1,0,1.9,61721
2014,22,3,0,3,4.9,1532
2014,22,0,1,0,1.9,32844
2015,36,5,0,2,10.6,238
2015,21,0,2,1,1.2,1811
2015,19,0,0,4,10.2,250
2014,15,0,1,5,2.4,27521
2015,14,3,2,2,3.6,2488
2014,21,4,2,2,4.7,1115
2014,50,4,1,0,3.7,4679
2015,33,2,0,0,0.9,54022
2014,48,5,0,0,19,1687
2014,1,0,1,2,2.9,5216
2015,0,2,1,2,1.7,46163
2015,2,4,0,4,12.9,177
2015,44,3,0,0,3.1,85197
2015,34,1,0,5,0.9,11888
2015,5,1,0,2,0.7,3409
2015,18,3,1,1,0.001,69
2015,31,2,2,0,0.9,11169
2014,10,3,0,6,4.3,814
2015,34,4,2,0,6.4,9421
2015,34,0,0,2,3.2,18262
2014,49,2,0,0,2.2,4383
2015,37,1,2,5,0.9,2270
2014,5,3,0,1,1.2,19720
2014,41,3,2,0,3.7,8610
2015,2,5,0,0,33.1,49
2015,40,2,0,2,0.001,159
2014,38,0,0,1,1.5,1445
2015,7,4,2,0,3.5,3187
2014,6,3,2,0,2,9227
2015,19,2,0,0,1.7,11833
2014,14,4,0,3,6.8,870
2015,40,1,2,6,0.001,59
2015,21,0,0,2,2.2,14892
2015,19,0,2,3,3.3,848
2014,48,2,0,3,1.9,2257
2014,11,3,1,2,4.4,3915
2015,41,3,1,5,3.3,5659
2014,0,5,0,4,22.2,316
2015,33,4,1,2,7.6,1215
2015,16,0,2,0,2.3,16210
2015,30,3,0,0,1.7,5181
2015,8,4,0,2,8,187
2015,13,5,0,5,15.8,294
2014,8,0,1,5,2.3,3062
2014,25,3,0,0,4.5,9748
2015,21,3,0,5,2,12725
2014,13,4,1,0,5.5,1247
2014,3,0,2,4,4.8,2468
2014,29,3,0,5,3.1,5605
2015,32,2,0,4,3.1,925
2014,19,0,0,2,3.5,12642
2015,37,2,0,3,1.5,1084
2014,14,0,1,6,2,1015
2014,10,4,0,6,9.8,246
2015,36,1,2,0,0.7,11927
2014,44,5,2,5,20.6,2171
2015,23,2,2,2,1.8,1334
2015,29,4,2,3,12.8,227
2016,0,0,2,1,1.53,85790
2015,23,0,0,6,2.5,2060
2015,31,3,2,3,2.8,2057
2014,44,5,0,2,25.8,346
2014,25,4,2,5,7.9,1935
2015,42,5,0,0,9.9,273
2015,16,2,1,6,0.001,73
2014,1,3,2,5,3.3,6123
2014,48,3,2,4,8,243
2015,2,0,0,0,2,6619
2015,39,5,2,2,30.2,130
2015,5,4,1,0,5.3,24219
2014,10,5,1,2,17.6,112
2014,38,0,2,1,1.6,799
2015,40,1,2,2,0.001,54
2015,25,2,2,4,0.001,30
2014,32,3,0,3,6,2359
2014,5,5,2,0,17.7,5161
2014,24,0,1,0,1.7,27271
2015,33,4,0,0,4.9,30286
2014,7,1,0,0,0.6,7128
2014,36,1,0,5,0.6,18657
2015,2,0,2,3,0.001,117
2015,30,4,0,5,4.2,2377
2015,12,3,0,1,1.5,1922
2014,42,0,0,1,0.001,67
2015,10,1,2,0,0.6,16879
2015,27,4,2,5,4.2,876
2014,18,1,2,1,0.001,68
2014,24,4,1,5,3.6,4155
2014,16,0,2,1,0.001,194
2014,2,0,0,0,1.9,6787
2014,17,0,1,2,2.9,599
2015,28,0,2,3,2.6,600
2015,39,2,1,5,1.1,13102
2014,27,4,0,0,3.7,1799
2015,31,5,0,5,14.5,2033
2014,42,3,0,0,2.9,2795
2014,29,0,0,3,3.3,6183
2015,9,1,1,6,0.001,32
2015,3,4,1,4,13.9,198
2014,37,1,0,4,2.2,1170
2015,36,3,2,6,11.1,242
2015,9,4,2,0,5,445
2014,33,0,2,4,5.9,275
2014,45,0,1,0,1.5,14349
2014,6,3,0,3,3.1,2306
2014,6,0,2,3,2.1,4409
2014,32,5,1,5,22.1,82
2014,1,5,1,5,15.5,296
2015,33,0,1,2,2.6,10888
2015,3,2,2,3,1.3,2754
2015,24,1,1,0,0.3,5953
2015,44,2,0,3,1.5,27810
2015,38,1,1,4,0.001,66
2014,31,1,2,5,0.4,4803
2015,5,2,0,3,0.9,44106
2014,23,4,1,0,6.1,7704
2014,45,5,2,5,19.8,187
2015,34,4,0,3,12.1,226
2015,19,4,0,0,7.1,7259
2015,36,4,0,5,4.6,17235
2014,20,2,2,6,0.001,46
2014,30,4,0,5,3.5,2193
2014,25,0,1,2,3.2,5020
2014,22,1,1,5,0.4,4633
2014,43,3,0,5,4,18516
2015,32,4,1,4,12.2,145
2015,10,3,2,3,2.5,6875
2014,41,4,0,5,5.7,6658
2015,12,0,1,0,1.5,7071
2014,22,2,2,5,0.6,6685
2014,47,0,2,6,1.2,1214
2014,41,1,0,0,1,9155
2014,23,2,0,3,1.5,1116
2014,14,4,1,0,5.2,8597
2014,20,2,0,5,1.6,2566
2015,24,2,0,4,0.001,191
2015,24,0,1,0,1.5,27386
2015,39,3,1,5,2.2,19628
2015,15,3,0,0,2.9,22354
2015,33,3,0,5,1.6,44889
2015,32,5,0,3,23.5,130
2014,50,5,1,5,10.8,511
2014,34,1,1,5,0.8,6109
2015,23,0,2,1,1.6,1105
2014,36,2,0,0,1.2,29657
2015,19,5,1,0,15.8,343
2014,21,5,0,0,16.3,1377
2015,34,3,2,5,3.1,12732
2014,4,3,0,5,3.6,7913
2015,3,3,0,0,2.7,21055
2015,15,0,0,0,2.6,66045
2014,24,4,0,5,3.5,8479
2014,31,0,2,2,3.3,5311
2015,4,4,1,5,7.8,2142
2014,39,4,1,3,11.9,124
2015,29,0,0,0,3.9,26988
2014,26,0,2,3,1.6,824
2015,29,0,1,1,2.5,900
2014,6,0,0,0,2,52929
2014,51,5,1,0,18.4,37
2014,39,0,1,1,1.6,1350
2014,31,3,0,2,4.3,3481
2014,47,3,0,6,3.3,424
2015,25,0,0,2,3.2,10698
2014,49,5,1,5,16.8,158
2015,4,3,0,0,4,9748
2015,23,0,0,0,2.3,98008
2015,33,0,0,0,2.1,195742
2014,26,0,1,5,2.7,25351
2014,49,0,1,0,4.1,8792
2015,30,5,0,0,18.3,334
2015,14,3,1,0,2.1,21348
2015,4,0,1,0,3.4,14312
2014,37,0,0,2,3.3,2078
2014,48,1,2,5,0.4,4427
2014,10,5,2,3,21,451
2014,3,4,0,0,5.8,11144
2014,4,1,2,1,0.001,32
2014,45,4,2,0,5.3,1637
2014,17,0,0,6,3.1,762
2014,44,3,1,2,4.5,4213
2014,10,2,2,3,1.2,5676
2014,3,1,1,0,0.9,7506
2015,39,3,2,2,5.5,1500
2014,11,2,2,4,0.001,30
2014,43,2,0,0,1.5,16762
2015,41,1,1,5,0.9,2899
2014,6,2,1,3,2,1471
2014,5,1,1,5,0.4,11942
2014,29,0,2,5,3.6,7540
2014,22,1,1,6,0.001,362
2015,41,5,2,0,20.2,710
2015,36,3,2,0,3.1,21006
2014,15,0,2,2,4.2,2356
2015,11,3,0,3,2.5,1650
2014,14,3,1,5,1.7,15945
2014,34,2,0,3,1,2424
2014,16,3,2,1,0.001,54
2014,43,1,1,0,0.7,7049
2014,5,0,1,4,3.9,1016
2014,13,4,1,5,5.2,1176
2014,38,1,0,1,0.001,279
2015,33,5,2,3,21.8,203
2015,24,3,0,0,1.8,19615
2014,48,3,1,5,2.5,9428
2014,0,3,1,0,2.8,522130
2014,4,2,2,2,3.2,593
2015,35,4,2,5,4.6,602
2015,1,1,1,1,0.001,41
2015,7,0,0,0,1.8,35787
2014,43,0,0,1,2,999
2014,48,2,0,5,1,12658
2015,6,0,1,0,1.9,26670
2015,20,3,0,0,2.5,4923
2015,31,0,0,2,2.6,9386
2014,11,3,0,6,8.4,346
2015,15,1,0,5,0.8,11003
2014,45,1,1,1,0.001,66
2015,24,1,0,5,0.3,9437
2014,39,1,1,5,0.6,9822
2015,0,3,2,3,3.1,63685
2014,37,0,2,6,3.5,1410
2014,50,0,1,0,1.8,29189
2014,7,0,1,3,1.9,1961
2014,10,3,1,5,2.6,20733
2015,11,5,1,0,18.8,550
2015,34,0,2,1,1.7,1257
2014,0,2,2,0,1.2,409029
2015,14,5,0,2,12.4,232
2014,18,4,0,2,11.7,345
2014,26,2,2,5,1.6,6333
2014,37,3,0,6,5.5,708
2014,46,0,1,6,0.001,51
2014,44,4,1,1,5.4,418
2014,0,4,1,0,5.5,224351
2015,34,0,1,0,2.5,47402
2015,5,1,2,1,0.4,4906
2015,26,3,0,0,3.1,20922
2015,33,3,0,1,1.2,5446
2014,33,1,2,4,0.001,61
2015,20,5,2,5,14.1,251
2014,13,3,1,5,2.6,2100
2014,41,3,1,2,7.1,1729
2014,16,0,1,5,1.7,14300
2015,25,3,2,5,3.9,3062
2015,40,0,0,3,1.8,1172
2014,3,1,1,5,0.9,3239
2015,4,3,2,2,8.8,738
2015,36,0,1,3,2.5,1783
2014,2,3,0,0,1.9,2189
2014,32,0,1,0,3.6,9416
2014,44,1,1,0,0.8,31364
2015,22,0,0,0,2,68785
2015,20,0,0,1,0.001,97
2014,34,4,2,2,9,1561
2015,14,0,1,3,1.3,8167
2015,31,5,1,0,13,796
2014,0,5,2,1,15.6,1381
2015,44,1,2,5,0.6,11412
2014,36,3,0,5,2.6,35438
2014,0,0,2,4,4.3,15612
2014,21,0,1,3,1.4,2116
2015,28,5,2,5,15.9,374
2015,15,5,2,0,18.4,1113
2015,10,5,0,3,15.8,742
2015,37,3,0,3,4.7,603
2014,46,3,2,5,2.1,1180
2014,5,2,0,0,0.9,107384
2014,26,1,0,0,0.8,12935
2014,39,0,2,0,2.6,65297
2014,34,1,2,3,0.8,1127
2014,47,2,2,2,1.3,2028
2015,33,3,1,6,4.5,451
2014,32,0,0,0,3.6,19283
2014,31,5,2,5,16.7,1261
2015,17,5,0,0,18.1,829
2014,32,2,1,6,0.001,45
2014,5,3,1,3,2.8,17637
2014,28,2,0,5,0.8,3900
2014,1,1,0,5,0.7,6073
2015,36,2,0,2,1.6,3080
2015,40,4,2,5,4.3,887
2014,32,3,2,5,3.2,1518
2014,43,3,0,2,4.7,3142
2015,37,3,2,2,8.4,324
2015,22,4,2,5,4.3,5200
2014,5,1,2,2,1.1,1791
2014,37,3,2,4,8.5,539
2015,38,0,2,5,2.8,16378
2015,19,2,2,5,1.6,3558
2015,6,1,2,0,0.6,5628
2014,7,3,1,0,1.6,6270
2015,15,1,1,0,1,7217
2015,24,5,2,0,17.4,908
2015,36,1,0,5,0.7,18833
2015,17,1,0,5,0.7,4675
2015,17,3,1,0,2.5,4721
2014,22,4,0,3,9.4,327
2015,44,4,1,6,11.3,120
2014,48,0,1,1,2,2209
2014,24,4,2,5,3.3,4324
2015,10,4,1,3,6.3,2149
2015,4,1,1,0,1.2,3206
2015,29,0,0,4,8,441
2015,39,4,2,3,15.4,159
2014,11,2,1,3,1.3,1406
2015,44,0,0,1,1.2,11013
2015,37,0,2,0,3.6,18865
2014,43,2,2,5,1.6,6351
2014,22,4,2,3,9.7,200
2015,14,4,1,5,4.2,7100
2015,14,0,0,3,1.4,16043
2014,15,1,1,1,0.001,104
2014,28,1,1,1,0.001,38
2014,10,0,1,3,2.2,18698
2014,33,3,1,0,2.2,32210
2015,3,1,1,0,0.9,7601
2014,39,0,0,3,3.7,5321
2014,36,5,2,0,16.6,2175
2015,28,0,0,0,2.2,19089
2014,7,4,2,3,13.6,157
2015,23,1,2,0,0.7,9671
2014,11,4,0,5,6,10591
2015,21,2,1,2,1.1,1984
2014,37,4,0,6,13.6,222
2014,38,3,2,0,3.6,7003
2014,22,0,2,3,3,2980
2014,11,1,0,2,1,6390
2014,32,4,0,3,11.7,996
2015,33,2,1,1,0.7,2549
2014,15,3,1,5,3.3,9776
2014,15,0,0,6,2.4,1140
2014,22,5,1,0,18,641
2015,41,2,0,5,1.1,8112
2014,14,2,2,2,1.1,2044
2014,11,5,0,0,20.8,1712
2014,42,3,1,0,3,1402
2014,33,4,2,1,5.7,846
2014,6,0,0,5,1.8,39398
2014,9,3,2,1,0.001,37
2015,2,4,0,0,5.2,692
2015,1,5,2,2,15,163
2014,33,1,0,3,0.9,7090
2015,5,2,2,6,1,1945
2014,21,5,2,2,16.9,160
2015,4,2,0,4,0.001,53
2015,5,5,0,0,15.5,8133
2014,30,1,1,1,0.001,39
2015,39,5,0,0,15.1,3819
2015,0,2,2,6,1.3,11835
2015,12,2,2,2,0.001,31
2015,19,0,1,5,2.6,13636
2015,34,0,1,6,3.1,1028
2014,8,4,2,5,2.1,753
2014,51,1,0,4,0.001,108
2014,15,5,2,5,23,1048
2014,45,2,1,2,0.001,51
2015,22,2,0,0,0.9,19609
2015,4,5,2,0,20.6,550
2014,36,4,0,2,7.7,1609
2015,31,4,1,2,6.5,503
2014,5,2,0,6,1,3969
2014,11,0,2,6,3.2,960
2015,23,2,1,0,1.4,12086
2015,16,1,1,1,0.001,41
2015,37,2,2,0,2,4939
2015,41,4,0,0,6.5,8890
2015,43,4,1,0,6.8,5057
2014,10,5,0,5,14.1,4748
2014,28,0,2,5,1.8,8318
2014,19,0,1,5,2.6,13566
2014,39,2,1,0,1.3,16698
2015,30,0,0,5,2.1,12289
2015,19,2,1,4,0.001,32
2015,26,4,1,0,5.6,4706
2015,6,0,0,6,1.8,1309
2014,44,3,0,2,4.6,8765
2014,48,4,1,0,4.6,5024
2015,25,4,1,5,8.3,1601
2015,10,1,1,2,0.7,3022
2014,34,1,2,5,0.5,5783
2015,25,2,1,1,0.001,55
2015,42,5,2,5,11.9,156
2015,12,1,1,3,0.001,218
2015,39,1,2,5,0.6,9064
2015,5,3,0,2,4.3,6712
2015,22,4,2,2,10.4,223
2014,10,4,0,1,3.1,597
2015,11,0,1,6,2.5,934
2014,32,4,2,5,4.5,929
2015,29,4,1,0,7,2168
2014,1,4,2,0,7.1,4831
2014,39,3,0,2,4.2,2918
2014,14,5,1,5,12.8,896
2014,18,5,0,2,25.7,50
2015,5,3,2,5,1.8,29080
2014,33,0,1,1,1.3,7198
2015,26,1,2,5,0.6,4976
2014,19,0,2,1,2.7,392
2014,27,0,1,0,1.9,4950
2014,42,0,0,4,2.7,885
2014,51,0,1,5,2,2455
2015,3,4,1,0,5.4,5505
2014,35,3,1,5,3.4,1229
2014,20,0,2,5,2.8,6239
2015,12,5,0,0,9.2,426
2015,39,0,1,1,1.4,1548
2014,28,2,2,6,0.001,52
2014,29,2,0,3,3.3,2131
2014,17,3,0,0,2.7,9578
2015,5,5,1,3,14.9,476
2015,36,4,0,2,7.2,1578
2014,30,2,0,1,0.001,111
2014,32,1,0,2,0.001,44
2014,15,3,1,1,0.001,113
2014,10,0,0,5,2.6,119346
2015,22,3,1,3,2.5,710
2014,10,1,1,2,0.7,2995
2015,10,2,0,5,1.3,24053
2014,23,2,2,4,0.001,89
2014,31,4,2,0,4.7,7241
2015,43,0,1,5,3.2,25072
2014,0,1,2,5,0.6,183802
2014,14,3,2,2,4.5,2610
2015,27,2,2,3,0.001,32
2015,14,0,2,0,2.1,64600
2015,39,2,0,3,1.6,1927
2014,2,3,2,0,2.1,1022
2015,29,2,2,3,2,1032
2015,41,4,1,0,6.5,4057
2014,24,0,0,2,2.1,1521
2014,37,1,0,0,1.2,8691
2014,46,4,0,0,5.1,1150
2014,18,0,2,5,3.9,20402
2015,29,1,1,0,2,2963
2014,12,2,2,2,0.001,32
2015,5,0,2,4,5.4,1000
2015,17,4,2,5,4.9,2365
2014,0,2,0,3,1.3,146681
2015,32,4,0,0,7.7,3249
2014,32,5,0,3,21.1,93
2015,44,4,2,2,8.8,1788
2015,3,2,1,0,1.1,8970
2014,33,2,0,1,0.6,5348
2015,8,2,1,1,0.001,63
2015,42,0,2,4,3.6,425
2015,17,0,2,3,1.9,1076
2015,39,3,1,2,5.3,1392
2014,3,3,2,3,3,2180
2014,47,1,1,5,0.5,5451
2015,13,2,0,0,1.6,4013
2014,9,0,2,0,2.8,3455
2014,26,5,0,0,18,1572
2015,24,2,0,0,0.7,13037
2014,44,0,0,3,2.6,85415
2015,20,4,2,0,3.9,1413
2014,4,3,2,0,3.7,5113
2015,35,0,1,0,1.8,4026
2015,14,1,0,3,0.7,5246
2014,46,4,2,0,4.2,615
2015,11,1,1,0,0.7,10975
2014,17,1,0,5,0.5,4757
2015,3,3,0,4,6.5,1370
2014,15,4,1,1,0.001,36
2015,35,0,2,0,1.9,3843
2014,39,4,2,5,4.3,10615
2014,29,1,0,5,0.9,2344
2015,7,5,0,5,15.7,1055
2014,41,4,1,0,5.6,3898
2014,47,2,0,3,1.3,1847
2015,22,1,0,5,0.5,8632
2015,44,2,2,0,1.3,35406
2015,14,2,1,5,0.8,11187
2015,37,3,1,6,7.8,367
2014,40,3,0,0,2.5,3797
2014,11,0,1,3,1.8,3591
2014,16,0,2,5,2,14819
2015,25,0,1,0,3.2,14120
2014,43,4,1,1,0.001,39
2014,4,3,1,5,3.5,3807
2015,18,0,2,5,3.7,20236
2015,0,2,0,5,1.1,505558
2015,24,0,0,2,2.5,1483
2015,29,0,2,1,2.8,1191
2014,32,3,1,3,7.1,1165
2014,13,0,1,0,2,7783
2014,12,0,2,5,1.8,1502
2015,7,0,0,2,2.9,2853
2015,4,2,1,5,1.8,2746
2014,37,0,0,5,3.8,25334
2014,11,0,0,3,1.5,6810
2015,14,0,2,6,2.2,1116
2014,50,1,2,0,0.5,5900
2015,17,4,1,5,4.7,2037
2015,18,0,2,0,3.5,22866
2015,39,0,1,5,2.1,53122
2015,44,4,1,0,6.7,16666
2015,17,2,1,5,0.9,2883
2014,11,2,2,0,1.5,13207
2014,17,4,0,0,4.5,4665
2015,32,3,0,5,2.9,2788
2014,29,3,1,3,3.1,809
2015,31,0,1,6,1.5,853
2014,14,4,2,2,9.8,1175
2015,1,1,0,0,0.8,9249
2014,31,2,1,0,0.9,11194
2014,18,1,0,5,1,7902
2014,47,1,0,4,0.001,30
2015,38,3,1,5,2.3,5684
2015,43,0,1,3,1.8,1341
2014,49,4,2,0,9.5,1915
2014,16,2,1,0,0.8,3930
2015,12,4,1,0,3.3,1046
2015,0,1,0,2,0.8,70147
2014,38,1,2,2,0.001,68
2015,5,4,1,3,7.8,4122
2015,34,1,2,5,0.9,5763
2014,21,2,0,2,0.8,4197
2015,14,1,2,2,1,1433
2014,36,0,2,5,2.7,50249
2014,13,1,1,0,0.8,2023
2014,12,0,1,5,1.6,1730
2015,39,2,1,0,1.2,16650
2015,32,2,1,6,0.001,58
2015,0,1,1,2,0.9,36071
2014,39,2,0,5,1,25918
2014,45,1,0,1,0.001,124
2015,29,2,0,5,3.3,3377
2015,16,2,2,0,1,3834
2014,37,2,1,1,0.001,115
2015,32,0,1,5,3.2,3544
2014,43,0,0,6,3.5,1241
2014,47,4,2,2,5.8,1005
2014,43,0,1,2,3,4224
2014,15,2,2,2,3,639
2015,18,1,1,0,0.9,4803
2015,9,3,2,2,5.6,519
2014,0,3,1,4,5.7,4703
2014,36,2,1,2,1.3,1605
2014,6,2,2,5,0.6,5052
2014,19,5,2,2,18,136
2015,8,2,2,6,0.001,30
2014,0,4,1,3,9,14107
2014,3,1,0,3,0.8,5527
2014,2,3,1,3,0.001,33
2015,18,1,0,0,0.9,9353
2014,34,4,0,1,8.1,146
2014,27,2,2,0,2.2,1101
2015,29,2,2,5,3.4,1663
2015,23,4,0,6,15.7,140
2015,21,5,2,2,17.3,178
2015,36,3,0,3,3.8,780
2014,36,4,0,5,5.1,16754
2014,25,0,2,0,3.6,15247
2015,36,0,2,5,2.7,50589
2015,10,2,2,3,0.9,5915
2015,28,2,1,1,0.001,56
2015,44,0,2,2,3.3,12993
2015,30,4,1,0,4.9,1175
2015,3,3,2,5,2.3,6939
2014,0,0,2,0,2.6,1603381
2015,35,1,0,6,0.001,74
2014,21,0,2,5,2.6,17895
2014,37,3,2,0,4.4,6114
2015,36,5,1,0,15.4,1015
2014,31,5,2,2,17,122
2014,25,4,0,2,10.4,1239
2015,20,4,1,5,3.8,1215
2015,7,3,1,5,1.5,4888
2014,33,0,1,5,1.9,61362
2015,37,5,0,0,16.5,751
2015,23,4,2,5,4.1,7923
2014,5,4,1,2,8.7,1065
2015,0,1,1,1,0.4,15887
2015,42,4,2,5,5.1,702
2014,34,3,0,6,5.8,342
2014,43,4,1,5,7.3,4393
2014,40,2,0,1,0.001,145
2014,49,1,0,0,1,3344
2014,12,3,0,5,1.6,1181
2014,28,2,0,1,0.001,117
2015,44,1,2,2,0.7,2733
2014,23,4,1,5,5.8,6886
2014,37,4,0,4,12.1,329
2015,10,0,2,0,2.7,100684
2014,15,0,0,2,3.7,4687
2014,17,3,1,0,2.6,4737
2014,1,3,0,5,3.2,11972
2014,48,3,0,2,4.7,630
2015,29,2,0,3,2.6,2061
2015,21,5,1,5,13.2,325
2014,48,4,2,0,5.5,5742
2015,10,5,0,2,15.6,350
2014,25,1,0,1,0.001,43
2015,9,4,1,2,9.1,176
2015,25,1,2,1,0.001,34
2014,25,1,2,0,0.5,3088
2014,20,3,1,0,3.1,2400
2014,6,5,1,5,17.3,297
2015,37,2,2,5,1.9,3130
2015,14,1,2,3,0.6,2555
2014,19,5,1,5,14.2,240
2014,38,5,2,0,16.9,639
2014,43,3,1,6,8.6,114
2015,37,3,1,5,3.4,4298
2014,26,3,0,0,3.2,20849
2015,26,5,1,0,18.7,532
2015,24,0,0,1,1.4,1436
2014,48,0,0,0,2.3,70600
2015,35,4,0,5,6.4,1150
2015,31,1,0,0,0.5,18271
2014,36,3,0,3,2.2,808
2014,27,5,0,5,20.1,236
2014,47,2,2,5,0.8,7163
2015,21,0,1,2,2,6768
2015,11,5,0,2,22.4,360
2015,36,2,2,0,1.1,14939
2015,23,0,1,2,4.1,4481
2014,3,1,2,0,0.7,7352
2015,5,0,0,3,1.8,130594
2015,5,1,0,3,0.7,38630
2015,10,5,2,3,17.9,469
2015,30,2,0,0,1.4,3104
